task,model,scenario,feature_set,mismatch_rate,runs,n_mean,f1_macro_mean,f1_macro_sd,balanced_accuracy_mean,roc_auc_ovr_macro_mean
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.0,3,135.0,0.867181235253303,0.04718569977022507,0.8838053740014523,0.9610147298471216
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.1,3,135.0,0.8242261745756512,0.0032735845311142367,0.8281681625334877,0.9324761082780029
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.25,3,135.0,0.7045331958147801,0.05497875742576758,0.7400562209643736,0.8983901813617446
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.5,3,135.0,0.5641323756995532,0.0313640226782961,0.5895695864736111,0.7952177323873019
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.75,3,135.0,0.5444301550911882,0.014325314371162575,0.5530850298652156,0.7575394529716748
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,1.0,3,135.0,0.39558463464843935,0.05818753230164586,0.4210491568592704,0.6393286988975891
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.0,3,135.0,0.8381921502164493,0.05717924151497045,0.8662441407539446,0.9648123585925861
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.1,3,135.0,0.8394399682818644,0.03109599333691192,0.8705354195550274,0.9553870182140142
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.25,3,135.0,0.831072141425822,0.0657931776536347,0.8725820294447745,0.9529521825250088
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.5,3,135.0,0.8152198254050861,0.03215721655769426,0.8475605730507692,0.9415842978432751
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.75,3,135.0,0.7951208377171527,0.05779044817293542,0.7921387942027778,0.9360437863527103
COADREAD_molecular_subtype,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,1.0,3,135.0,0.7010376940999744,0.07481376887737141,0.6770804015386059,0.8722991563721575
COADREAD_molecular_subtype,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.0,3,135.0,0.8332053407010452,0.021276800709076893,0.853172245329108,0.9505655139782703
COADREAD_molecular_subtype,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.1,3,135.0,0.8188492455083165,0.02111675212542717,0.8462575531718978,0.9391898463780084
COADREAD_molecular_subtype,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.25,3,135.0,0.7013189715626676,0.09888472542611734,0.734010208726411,0.8741103917430486
COADREAD_molecular_subtype,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.5,3,135.0,0.612998560445067,0.030447098235416387,0.6069814067750084,0.8177383877990768
COADREAD_molecular_subtype,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.75,3,135.0,0.49769990661557245,0.040812866589070525,0.5098699412424902,0.7404246373188341
COADREAD_molecular_subtype,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,1.0,3,135.0,0.40022810028673095,0.04385578310335889,0.3967643410367869,0.6847768049851121
COADREAD_molecular_subtype,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.0,3,135.0,0.804110551616188,0.04065054992437503,0.8318096687549731,0.9390918009649601
COADREAD_molecular_subtype,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.1,3,135.0,0.7848521358120278,0.05712657802801678,0.8469663959860038,0.9536523916795082
COADREAD_molecular_subtype,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.25,3,135.0,0.7810870928206456,0.08712889280367486,0.8275566118703374,0.9328743225706635
COADREAD_molecular_subtype,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.5,3,135.0,0.7434116331040778,0.09997934512205053,0.7922534599521183,0.905066149401018
COADREAD_molecular_subtype,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.75,3,135.0,0.7789014043187651,0.03864109691807416,0.8016456272390226,0.9194790316978301
COADREAD_molecular_subtype,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,1.0,3,135.0,0.5638728581683905,0.08892473963041218,0.5555242830784627,0.8328062438111802
HNSC_HPV_status,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.0,3,147.0,0.9207105746161889,0.03831994383048088,0.9608484848484848,0.9757575757575757
HNSC_HPV_status,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.1,3,147.0,0.9119693808416288,0.02014439463695352,0.9345454545454546,0.9707878787878789
HNSC_HPV_status,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.25,3,147.0,0.8981454100647565,0.032630630953182464,0.9006666666666666,0.9618181818181819
HNSC_HPV_status,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.5,3,147.0,0.8105502874533671,0.037384109312776734,0.8115757575757575,0.9226666666666667
HNSC_HPV_status,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.75,3,147.0,0.7423477243315476,0.039322240097673336,0.7282424242424241,0.8842424242424242
HNSC_HPV_status,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,1.0,3,147.0,0.6799415694764533,0.05479754686857405,0.6796969696969697,0.8450909090909091
HNSC_HPV_status,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.0,3,147.0,0.9445338330504081,0.02665226878343529,0.9639393939393939,0.9733333333333333
HNSC_HPV_status,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.1,3,147.0,0.8775802689908875,0.10072041192169033,0.9408484848484848,0.9711515151515151
HNSC_HPV_status,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.25,3,147.0,0.8372483736377565,0.06995299135902996,0.9248484848484848,0.973939393939394
HNSC_HPV_status,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.5,3,147.0,0.9178471431633354,0.05137146743574977,0.9532727272727272,0.9858181818181818
HNSC_HPV_status,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.75,3,147.0,0.8415767842793317,0.11148155662183812,0.8998787878787878,0.9601212121212122
HNSC_HPV_status,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,1.0,3,147.0,0.8258797867735054,0.07561720877430579,0.8427878787878789,0.9304242424242424
HNSC_HPV_status,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.0,3,147.0,0.8680912295491993,0.1482628065312658,0.9252727272727274,0.9644848484848486
HNSC_HPV_status,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.1,3,147.0,0.8832799507311141,0.0424089243054583,0.9287878787878787,0.9648484848484848
HNSC_HPV_status,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.25,3,147.0,0.8380806977961837,0.06600739213350088,0.8815757575757576,0.9423030303030303
HNSC_HPV_status,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.5,3,147.0,0.7730832327968747,0.06175943402500716,0.7844242424242425,0.9013333333333334
HNSC_HPV_status,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.75,3,147.0,0.7506659978549924,0.04210273936005392,0.7309090909090908,0.8675151515151516
HNSC_HPV_status,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,1.0,3,147.0,0.6784450924956587,0.059639251849057856,0.6694545454545455,0.8247272727272729
HNSC_HPV_status,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.0,3,147.0,0.9235782540194367,0.012686153042093999,0.9447878787878787,0.9688484848484848
HNSC_HPV_status,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.1,3,147.0,0.8554615482426854,0.12143976965590916,0.9288484848484848,0.9654545454545455
HNSC_HPV_status,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.25,3,147.0,0.9175852085276682,0.04191384540860571,0.942121212121212,0.9756363636363637
HNSC_HPV_status,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.5,3,147.0,0.9290582669401127,0.01878758368793208,0.9586060606060606,0.9843636363636364
HNSC_HPV_status,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.75,3,147.0,0.8421250368719967,0.06445152554195036,0.861939393939394,0.9564848484848486
HNSC_HPV_status,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,1.0,3,147.0,0.7995832570861147,0.03473259400154037,0.8124848484848485,0.9186666666666667
KIRC_grade_binary,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.0,3,152.0,0.6735405417199555,0.03794547888395665,0.6771708683473389,0.7492413632119513
KIRC_grade_binary,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.1,3,152.0,0.6657674436447693,0.015580344147249752,0.6694677871148459,0.7204715219421102
KIRC_grade_binary,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.25,3,152.0,0.6456484084391061,0.045528178427575706,0.6449579831932774,0.6974789915966387
KIRC_grade_binary,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.5,3,152.0,0.623691779284251,0.03284291906808542,0.6370214752567693,0.7023809523809524
KIRC_grade_binary,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.75,3,152.0,0.6112633079293289,0.01177112982616144,0.6181139122315593,0.66859243697479
KIRC_grade_binary,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,1.0,3,152.0,0.594051892678895,0.03612613871116411,0.5966386554621849,0.6373132586367881
KIRC_grade_binary,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.0,3,152.0,0.6529112360186877,0.008322259364820906,0.6526610644257702,0.720063025210084
KIRC_grade_binary,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.1,3,152.0,0.6673310802831409,0.02663618260452277,0.6678338001867413,0.7291666666666666
KIRC_grade_binary,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.25,3,152.0,0.6743591427665282,0.010025856595187047,0.6769374416433239,0.7192460317460317
KIRC_grade_binary,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.5,3,152.0,0.6650757892485375,0.011519424785218934,0.6677170868347339,0.7127100840336135
KIRC_grade_binary,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.75,3,152.0,0.6496648372000517,0.04802264435385835,0.6593137254901961,0.7291666666666666
KIRC_grade_binary,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,1.0,3,152.0,0.6317040991333492,0.0419489572812913,0.6352707749766573,0.6722105508870215
KIRC_grade_binary,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.0,3,152.0,0.669290670911364,0.06881610110120358,0.6711017740429505,0.7204131652661064
KIRC_grade_binary,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.1,3,152.0,0.650185521371387,0.04043530093519905,0.6532446311858077,0.6999883286647992
KIRC_grade_binary,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.25,3,152.0,0.6356971478887571,0.02402143482435341,0.6376050420168068,0.6796802054154996
KIRC_grade_binary,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.5,3,152.0,0.6395286254447162,0.011093724533617557,0.6437908496732025,0.7020891690009338
KIRC_grade_binary,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.75,3,152.0,0.5952436773734203,0.05428013127870561,0.6009570494864612,0.6541199813258637
KIRC_grade_binary,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,1.0,3,152.0,0.5785350248062578,0.0502961707539038,0.5826330532212886,0.6210901027077499
KIRC_grade_binary,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.0,3,152.0,0.6600633992853558,0.025490597557061966,0.6650326797385621,0.7226307189542484
KIRC_grade_binary,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.1,3,152.0,0.6884911716390049,0.00823390449397667,0.6898926237161532,0.7436974789915967
KIRC_grade_binary,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.25,3,152.0,0.7083546152222909,0.03323372911470135,0.7088001867413632,0.7293417366946778
KIRC_grade_binary,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.5,3,152.0,0.6834449702850666,0.017457896289254395,0.6840569561157798,0.7488912231559292
KIRC_grade_binary,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.75,3,152.0,0.6852166085380226,0.018098266573589636,0.6882586367880487,0.7204715219421103
KIRC_grade_binary,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,1.0,3,152.0,0.5958624462095757,0.06302987670978522,0.5964052287581699,0.6303104575163399
PRAD_pathologic_T_stage,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.0,3,147.0,0.6653174880799847,0.023481335183088745,0.6701007326007327,0.729068550497122
PRAD_pathologic_T_stage,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.1,3,147.0,0.6696065073403812,0.05163818747650439,0.6689560439560439,0.7424123495552067
PRAD_pathologic_T_stage,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.25,3,147.0,0.6478745254396138,0.02848097828401724,0.6490384615384616,0.6916535845107274
PRAD_pathologic_T_stage,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.5,3,147.0,0.6530537243518552,0.03616826384625854,0.6549908424908425,0.7125196232339089
PRAD_pathologic_T_stage,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.75,3,147.0,0.5775552935126043,0.039088006073291534,0.581959706959707,0.6257849293563579
PRAD_pathologic_T_stage,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,1.0,3,147.0,0.579632168244892,0.039161841865191456,0.5810439560439561,0.6123103087388801
PRAD_pathologic_T_stage,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.0,3,147.0,0.6689986238977769,0.05506561396691623,0.6726190476190476,0.7454212454212454
PRAD_pathologic_T_stage,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.1,3,147.0,0.653899113575644,0.059839572373926626,0.6675824175824175,0.7322082679225536
PRAD_pathologic_T_stage,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.25,3,147.0,0.6487213851491419,0.05262060471132045,0.6607142857142857,0.744309262166405
PRAD_pathologic_T_stage,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.5,3,147.0,0.6033259204684839,0.07008502985791354,0.6298076923076924,0.6972135007849295
PRAD_pathologic_T_stage,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.75,3,147.0,0.6221593579449682,0.009131497911618632,0.6327838827838828,0.6875327053898482
PRAD_pathologic_T_stage,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,1.0,3,147.0,0.6246680551528234,0.04726195791723614,0.6284340659340659,0.679029304029304
PRAD_pathologic_T_stage,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.0,3,147.0,0.6763705113218691,0.06061533032904105,0.6804029304029303,0.7458791208791209
PRAD_pathologic_T_stage,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.1,3,147.0,0.62607477680365,0.034071261198531544,0.6270604395604396,0.6984563055991627
PRAD_pathologic_T_stage,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.25,3,147.0,0.6742852336590127,0.02592347832759136,0.6776556776556776,0.7231815803244374
PRAD_pathologic_T_stage,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.5,3,147.0,0.6329142578686143,0.016161409200317323,0.6371336996336997,0.7074829931972789
PRAD_pathologic_T_stage,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.75,3,147.0,0.5904918975386555,0.036122212028009935,0.5908882783882784,0.63003663003663
PRAD_pathologic_T_stage,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,1.0,3,147.0,0.5709471389495365,0.06394126046450145,0.5776098901098902,0.6214024071166929
PRAD_pathologic_T_stage,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.0,3,147.0,0.6666539931944956,0.047647053606145344,0.6707875457875457,0.7518315018315018
PRAD_pathologic_T_stage,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.1,3,147.0,0.6760901212801871,0.0479655095803764,0.6826923076923078,0.7475143903715332
PRAD_pathologic_T_stage,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.25,3,147.0,0.670783951314032,0.04867930810384342,0.6822344322344321,0.7242935635792779
PRAD_pathologic_T_stage,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.5,3,147.0,0.6403651903651904,0.06572649297084802,0.6449175824175825,0.7108843537414966
PRAD_pathologic_T_stage,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.75,3,147.0,0.6170843343451344,0.014860539682966053,0.6291208791208791,0.6701988487702774
PRAD_pathologic_T_stage,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,1.0,3,147.0,0.571376604353734,0.061853616978923616,0.5771520146520146,0.6224489795918368
UCEC_molecular_subtype,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.0,3,153.0,0.8618159820952463,0.030710951912518464,0.881883460454889,0.9818408443730559
UCEC_molecular_subtype,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.1,3,153.0,0.8097361406665747,0.022955272583879766,0.8242278224421081,0.9537490710938786
UCEC_molecular_subtype,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.25,3,153.0,0.7437604134378656,0.053536444895584574,0.7639472960901532,0.922624421365618
UCEC_molecular_subtype,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.5,3,153.0,0.6211989987963787,0.023698344594117533,0.6308020683020684,0.855010748325855
UCEC_molecular_subtype,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.75,3,153.0,0.4576875506001201,0.024868780981296832,0.4693740122311551,0.7510032628602881
UCEC_molecular_subtype,liquid_cfc_modality_sequence,test_misaligned,multiomics_core,1.0,3,153.0,0.34707908829023365,0.015730907860953734,0.3534159623445337,0.6552500958745617
UCEC_molecular_subtype,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.0,3,153.0,0.8982074210782346,0.02042380518329585,0.9185339792482651,0.98468793099937
UCEC_molecular_subtype,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.1,3,153.0,0.8651064058301543,0.02791781516393062,0.8928013124441696,0.9817884629698983
UCEC_molecular_subtype,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.25,3,153.0,0.8304310809268011,0.04120187842876679,0.8450225039510754,0.9680005568650696
UCEC_molecular_subtype,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.5,3,153.0,0.8031375984110074,0.05189346345610801,0.8116719920291349,0.96052482315479
UCEC_molecular_subtype,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.75,3,153.0,0.7629664540812119,0.06025191165920565,0.7601551226551226,0.9341513538177297
UCEC_molecular_subtype,liquid_cfc_modality_sequence,train_misaligned,multiomics_core,1.0,3,153.0,0.6586534653806969,0.042845093494150666,0.6618214457500172,0.8927003480606435
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.0,3,153.0,0.8947439477310635,0.01516486498673587,0.9056801003229574,0.9830913714036473
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.1,3,153.0,0.8230685717458673,0.03344543602762994,0.8422258297258297,0.9563318368507886
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.25,3,153.0,0.7310380629888401,0.0729884064216335,0.7491324812753385,0.9233013810064469
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.5,3,153.0,0.5916882863946447,0.011219836498403687,0.6063071188071188,0.8426543597053998
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,0.75,3,153.0,0.4782186921969737,0.01440261770646551,0.4874811035525321,0.7499778741651101
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,test_misaligned,multiomics_core,1.0,3,153.0,0.3485853474600862,0.03594526737735619,0.35301226551226544,0.6578541505929739
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.0,3,153.0,0.8486892941522054,0.017688166966046758,0.8697012643441214,0.9760887866569471
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.1,3,153.0,0.8778562189428968,0.042836400524941344,0.8852676424104996,0.9777623514508123
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.25,3,153.0,0.839450740362144,0.02888021794614627,0.8617810760667903,0.9727981874057651
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.5,3,153.0,0.8012086448751422,0.05203722372606223,0.8184403559403558,0.9581930273055176
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,0.75,3,153.0,0.7553633700401302,0.03730777085718223,0.7767547928262214,0.9319579438130431
UCEC_molecular_subtype,small_liquid_cfc_modality_sequence,train_misaligned,multiomics_core,1.0,3,153.0,0.6257184891911969,0.04544820115433688,0.6276042740328455,0.8572963387426805
