task,model,scenario,feature_set,mismatch_rate,runs,n_mean,f1_macro_mean,f1_macro_sd,balanced_accuracy_mean,roc_auc_mean
COADREAD_molecular_subtype,extra_trees,mrna_only,mrna,0.0,3,135.0,0.725045131541474,0.023047503922012196,0.6852425180598556,0.9485983176457932
COADREAD_molecular_subtype,extra_trees,test_misaligned,multiomics_core,0.0,3,135.0,0.8892811397537588,0.05518182718349139,0.8671093459535152,0.9609234613672131
COADREAD_molecular_subtype,extra_trees,test_misaligned,multiomics_core,0.1,3,135.0,0.8171652835423854,0.03256576593374202,0.7984558345755456,0.9298412242740346
COADREAD_molecular_subtype,extra_trees,test_misaligned,multiomics_core,0.25,3,135.0,0.7598718244765051,0.07089881381482595,0.7381312262633212,0.8821548335846238
COADREAD_molecular_subtype,extra_trees,test_misaligned,multiomics_core,0.5,3,135.0,0.6563896895721386,0.05690164400601988,0.635821580094026,0.7999823396678556
COADREAD_molecular_subtype,extra_trees,test_misaligned,multiomics_core,0.75,3,135.0,0.5241924529381234,0.0779853572175298,0.5113883937413349,0.7210934700615286
COADREAD_molecular_subtype,extra_trees,test_misaligned,multiomics_core,1.0,3,135.0,0.3551399206752622,0.03511834168823345,0.3574617867703523,0.5848688033614903
COADREAD_molecular_subtype,extra_trees,train_misaligned,multiomics_core,0.0,3,135.0,0.8892811397537588,0.05518182718349139,0.8671093459535152,0.9609234613672131
COADREAD_molecular_subtype,extra_trees,train_misaligned,multiomics_core,0.1,3,135.0,0.9027778725208563,0.0547503679488258,0.8794932468823077,0.9588777418193821
COADREAD_molecular_subtype,extra_trees,train_misaligned,multiomics_core,0.25,3,135.0,0.848930230208854,0.034656106772109285,0.8141337697581248,0.965507146945205
COADREAD_molecular_subtype,extra_trees,train_misaligned,multiomics_core,0.5,3,135.0,0.7624552142687676,0.03494455599876712,0.7223942208462333,0.9648428362323479
COADREAD_molecular_subtype,extra_trees,train_misaligned,multiomics_core,0.75,3,135.0,0.642807527944428,0.0497226816546765,0.6226350189198486,0.9382594737123507
COADREAD_molecular_subtype,extra_trees,train_misaligned,multiomics_core,1.0,3,135.0,0.5007943467995876,0.027781887664353907,0.4853801169590643,0.9289993434603029
COADREAD_molecular_subtype,logistic_l2,mrna_only,mrna,0.0,3,135.0,0.8303511370209975,0.06417034150191246,0.834704110245906,0.9546579877727491
COADREAD_molecular_subtype,logistic_l2,test_misaligned,multiomics_core,0.0,3,135.0,0.8686086817482503,0.0397808971956622,0.8668939133335417,0.964982499813193
COADREAD_molecular_subtype,logistic_l2,test_misaligned,multiomics_core,0.1,3,135.0,0.797032421564888,0.056610744976739125,0.7887891644341593,0.9417315919753221
COADREAD_molecular_subtype,logistic_l2,test_misaligned,multiomics_core,0.25,3,135.0,0.7594348150475222,0.031863104359508614,0.743110499560448,0.9219202491577677
COADREAD_molecular_subtype,logistic_l2,test_misaligned,multiomics_core,0.5,3,135.0,0.6766817234412895,0.02409616271740244,0.6513362034517866,0.8583131079274263
COADREAD_molecular_subtype,logistic_l2,test_misaligned,multiomics_core,0.75,3,135.0,0.5627035505782273,0.07915649251458746,0.5414759914243917,0.816333071453105
COADREAD_molecular_subtype,logistic_l2,test_misaligned,multiomics_core,1.0,3,135.0,0.39836622836441155,0.05921030992347426,0.3997143780425514,0.7209120794951995
COADREAD_molecular_subtype,logistic_l2,train_misaligned,multiomics_core,0.0,3,135.0,0.8686086817482503,0.0397808971956622,0.8668939133335417,0.964982499813193
COADREAD_molecular_subtype,logistic_l2,train_misaligned,multiomics_core,0.1,3,135.0,0.8545312735514203,0.04405774819129762,0.8526996834530375,0.9630448997479819
COADREAD_molecular_subtype,logistic_l2,train_misaligned,multiomics_core,0.25,3,135.0,0.8648070895815256,0.029642470604124255,0.8700628576789567,0.9609411059662042
COADREAD_molecular_subtype,logistic_l2,train_misaligned,multiomics_core,0.5,3,135.0,0.8494863551040973,0.051833220111153974,0.8342315483698353,0.9612024777018134
COADREAD_molecular_subtype,logistic_l2,train_misaligned,multiomics_core,0.75,3,135.0,0.806028508276751,0.027250896500966675,0.7991090818748198,0.9465437775472214
COADREAD_molecular_subtype,logistic_l2,train_misaligned,multiomics_core,1.0,3,135.0,0.8322701857393812,0.034726558843516386,0.8094637465122502,0.9440174523582464
HNSC_HPV_status,extra_trees,mrna_only,mrna,0.0,3,147.0,0.9367818276109151,0.009256350825911005,0.9015151515151515,0.9812121212121213
HNSC_HPV_status,extra_trees,test_misaligned,multiomics_core,0.0,3,147.0,0.9572779956218639,0.015049194857977403,0.931818181818182,0.9812121212121213
HNSC_HPV_status,extra_trees,test_misaligned,multiomics_core,0.1,3,147.0,0.9521580635753865,0.017376071093720993,0.9242424242424243,0.9783030303030303
HNSC_HPV_status,extra_trees,test_misaligned,multiomics_core,0.25,3,147.0,0.8973509253592638,0.02075508899736547,0.8484848484848485,0.9751515151515151
HNSC_HPV_status,extra_trees,test_misaligned,multiomics_core,0.5,3,147.0,0.8591440925603226,0.04163179868315759,0.8030303030303031,0.9607272727272728
HNSC_HPV_status,extra_trees,test_misaligned,multiomics_core,0.75,3,147.0,0.6925706735533268,0.04400051940123438,0.6439393939393939,0.9250909090909091
HNSC_HPV_status,extra_trees,test_misaligned,multiomics_core,1.0,3,147.0,0.592267706302794,0.07962481782683434,0.5757575757575757,0.9178181818181819
HNSC_HPV_status,extra_trees,train_misaligned,multiomics_core,0.0,3,147.0,0.9572779956218639,0.015049194857977403,0.931818181818182,0.9812121212121211
HNSC_HPV_status,extra_trees,train_misaligned,multiomics_core,0.1,3,147.0,0.9412273626843793,0.03145379925791872,0.9090909090909092,0.9847272727272728
HNSC_HPV_status,extra_trees,train_misaligned,multiomics_core,0.25,3,147.0,0.947245916298446,0.008867982435799001,0.9166666666666666,0.9884848484848486
HNSC_HPV_status,extra_trees,train_misaligned,multiomics_core,0.5,3,147.0,0.9367818276109151,0.00925635082591098,0.9015151515151515,0.9831515151515151
HNSC_HPV_status,extra_trees,train_misaligned,multiomics_core,0.75,3,147.0,0.897088418537103,0.026751214350438427,0.8484848484848485,0.9808484848484849
HNSC_HPV_status,extra_trees,train_misaligned,multiomics_core,1.0,3,147.0,0.840491622844564,0.011745409964497222,0.7803030303030303,0.9864242424242424
HNSC_HPV_status,logistic_l2,mrna_only,mrna,0.0,3,147.0,0.957920700350061,0.03823621795462149,0.9741818181818181,0.9798787878787879
HNSC_HPV_status,logistic_l2,test_misaligned,multiomics_core,0.0,3,147.0,0.9640218997161459,0.020361049484507406,0.958121212121212,0.9768484848484849
HNSC_HPV_status,logistic_l2,test_misaligned,multiomics_core,0.1,3,147.0,0.9634704320292004,0.020580597957030825,0.9518787878787879,0.9761212121212122
HNSC_HPV_status,logistic_l2,test_misaligned,multiomics_core,0.25,3,147.0,0.9302309855574548,0.012811486463934768,0.9113333333333333,0.9802424242424242
HNSC_HPV_status,logistic_l2,test_misaligned,multiomics_core,0.5,3,147.0,0.9147574293338127,0.04547043884301354,0.8948484848484849,0.9613333333333335
HNSC_HPV_status,logistic_l2,test_misaligned,multiomics_core,0.75,3,147.0,0.8613817815419015,0.041527736796894456,0.8253333333333334,0.9396363636363637
HNSC_HPV_status,logistic_l2,test_misaligned,multiomics_core,1.0,3,147.0,0.8626043020668434,0.08317261600762095,0.8391515151515151,0.96
HNSC_HPV_status,logistic_l2,train_misaligned,multiomics_core,0.0,3,147.0,0.9640218997161459,0.020361049484507406,0.958121212121212,0.9768484848484849
HNSC_HPV_status,logistic_l2,train_misaligned,multiomics_core,0.1,3,147.0,0.9640218997161459,0.020361049484507406,0.958121212121212,0.9757575757575757
HNSC_HPV_status,logistic_l2,train_misaligned,multiomics_core,0.25,3,147.0,0.9603165794491096,0.02244070630087881,0.963030303030303,0.9808484848484849
HNSC_HPV_status,logistic_l2,train_misaligned,multiomics_core,0.5,3,147.0,0.9521566022939272,0.01341806635174626,0.9603636363636364,0.9735757575757575
HNSC_HPV_status,logistic_l2,train_misaligned,multiomics_core,0.75,3,147.0,0.9344042838018742,0.02623828647925039,0.9425454545454546,0.9752727272727273
HNSC_HPV_status,logistic_l2,train_misaligned,multiomics_core,1.0,3,147.0,0.9201244903808524,0.03388016486174498,0.9198181818181818,0.9790303030303029
KIRC_grade_binary,extra_trees,mrna_only,mrna,0.0,3,152.0,0.7068572088236005,0.02165736445334564,0.7064659197012139,0.7679154995331466
KIRC_grade_binary,extra_trees,test_misaligned,multiomics_core,0.0,3,152.0,0.7200469377921602,0.04343814774631867,0.7193043884220355,0.7589869281045751
KIRC_grade_binary,extra_trees,test_misaligned,multiomics_core,0.1,3,152.0,0.7105173946300397,0.05274468091216411,0.7095004668534081,0.7548436041083099
KIRC_grade_binary,extra_trees,test_misaligned,multiomics_core,0.25,3,152.0,0.690237681692481,0.05479010386157569,0.6898926237161532,0.7454481792717087
KIRC_grade_binary,extra_trees,test_misaligned,multiomics_core,0.5,3,152.0,0.6767664239938033,0.05396614934386995,0.676704014939309,0.7285247432306255
KIRC_grade_binary,extra_trees,test_misaligned,multiomics_core,0.75,3,152.0,0.6463496502045566,0.038456641048990235,0.6477591036414566,0.6815476190476191
KIRC_grade_binary,extra_trees,test_misaligned,multiomics_core,1.0,3,152.0,0.5588632888007518,0.007807967387664119,0.5672268907563025,0.6361461251167134
KIRC_grade_binary,extra_trees,train_misaligned,multiomics_core,0.0,3,152.0,0.7200469377921602,0.04343814774631867,0.7193043884220355,0.7589869281045751
KIRC_grade_binary,extra_trees,train_misaligned,multiomics_core,0.1,3,152.0,0.7144292146041815,0.0709084391059002,0.7139355742296919,0.7673902894491129
KIRC_grade_binary,extra_trees,train_misaligned,multiomics_core,0.25,3,152.0,0.6899610854506074,0.06565995043258499,0.6901260504201682,0.7542016806722689
KIRC_grade_binary,extra_trees,train_misaligned,multiomics_core,0.5,3,152.0,0.7043978849072307,0.04915097186485313,0.7041316526610645,0.7708333333333334
KIRC_grade_binary,extra_trees,train_misaligned,multiomics_core,0.75,3,152.0,0.6821485556537544,0.07318006697084899,0.682422969187675,0.7568277310924371
KIRC_grade_binary,extra_trees,train_misaligned,multiomics_core,1.0,3,152.0,0.6868124656835958,0.041352882881524514,0.6867413632119513,0.7427054154995331
KIRC_grade_binary,logistic_l2,mrna_only,mrna,0.0,3,152.0,0.6249883456434867,0.006147509821337428,0.6276844070961718,0.6819561157796453
KIRC_grade_binary,logistic_l2,test_misaligned,multiomics_core,0.0,3,152.0,0.6498165138594046,0.02796582182241694,0.651844070961718,0.7081582633053222
KIRC_grade_binary,logistic_l2,test_misaligned,multiomics_core,0.1,3,152.0,0.6451361434216313,0.01612895928320574,0.6469421101774042,0.6996965452847806
KIRC_grade_binary,logistic_l2,test_misaligned,multiomics_core,0.25,3,152.0,0.6317976565849001,0.03345234773827647,0.633169934640523,0.6790382819794586
KIRC_grade_binary,logistic_l2,test_misaligned,multiomics_core,0.5,3,152.0,0.628581509278359,0.03127235397842872,0.6293183940242764,0.6740196078431372
KIRC_grade_binary,logistic_l2,test_misaligned,multiomics_core,0.75,3,152.0,0.5898015821222556,0.07072649677622468,0.5908029878618114,0.6389472455648927
KIRC_grade_binary,logistic_l2,test_misaligned,multiomics_core,1.0,3,152.0,0.5967306105221946,0.0371994679880793,0.5978057889822596,0.6246498599439776
KIRC_grade_binary,logistic_l2,train_misaligned,multiomics_core,0.0,3,152.0,0.6498165138594046,0.02796582182241694,0.651844070961718,0.7081582633053222
KIRC_grade_binary,logistic_l2,train_misaligned,multiomics_core,0.1,3,152.0,0.6470167097192424,0.04208609812191731,0.6489262371615313,0.7102007469654529
KIRC_grade_binary,logistic_l2,train_misaligned,multiomics_core,0.25,3,152.0,0.6342756698639052,0.005632863910006397,0.6379551820728291,0.7083333333333334
KIRC_grade_binary,logistic_l2,train_misaligned,multiomics_core,0.5,3,152.0,0.6521952213589963,0.013698851760983868,0.6542950513538749,0.7212885154061625
KIRC_grade_binary,logistic_l2,train_misaligned,multiomics_core,0.75,3,152.0,0.6093954128039853,0.010250133141500486,0.6109943977591037,0.6616479925303455
KIRC_grade_binary,logistic_l2,train_misaligned,multiomics_core,1.0,3,152.0,0.6205684981637671,0.0021393016853678004,0.6223155929038282,0.6728524743230625
PRAD_pathologic_T_stage,extra_trees,mrna_only,mrna,0.0,3,147.0,0.6414987074160512,0.016653506953307265,0.6396520146520146,0.7313579277864992
PRAD_pathologic_T_stage,extra_trees,test_misaligned,multiomics_core,0.0,3,147.0,0.658311975613918,0.013339224375510689,0.6568223443223443,0.7604003139717426
PRAD_pathologic_T_stage,extra_trees,test_misaligned,multiomics_core,0.1,3,147.0,0.6540521469885031,0.018591440712393832,0.6522435897435898,0.7412022501308216
PRAD_pathologic_T_stage,extra_trees,test_misaligned,multiomics_core,0.25,3,147.0,0.6264240972318981,0.014561702709384802,0.6252289377289377,0.7110151753008896
PRAD_pathologic_T_stage,extra_trees,test_misaligned,multiomics_core,0.5,3,147.0,0.6270771224298566,0.03248577263015837,0.6254578754578755,0.7038199895342752
PRAD_pathologic_T_stage,extra_trees,test_misaligned,multiomics_core,0.75,3,147.0,0.5746100899242662,0.018781723809364645,0.576923076923077,0.613095238095238
PRAD_pathologic_T_stage,extra_trees,test_misaligned,multiomics_core,1.0,3,147.0,0.5936555319578608,0.04023709144082921,0.5961538461538461,0.6158424908424909
PRAD_pathologic_T_stage,extra_trees,train_misaligned,multiomics_core,0.0,3,147.0,0.658311975613918,0.013339224375510689,0.6568223443223443,0.7604003139717426
PRAD_pathologic_T_stage,extra_trees,train_misaligned,multiomics_core,0.1,3,147.0,0.6725703979887253,0.005266315000521071,0.6707875457875457,0.7652080062794347
PRAD_pathologic_T_stage,extra_trees,train_misaligned,multiomics_core,0.25,3,147.0,0.6560154106941148,0.04470702271256749,0.6552197802197802,0.7479722658294087
PRAD_pathologic_T_stage,extra_trees,train_misaligned,multiomics_core,0.5,3,147.0,0.656033153398899,0.04367713735148742,0.6517857142857143,0.7513082155939298
PRAD_pathologic_T_stage,extra_trees,train_misaligned,multiomics_core,0.75,3,147.0,0.6473645530108364,0.00804476136516864,0.6442307692307692,0.7286106750392465
PRAD_pathologic_T_stage,extra_trees,train_misaligned,multiomics_core,1.0,3,147.0,0.6400456475608681,0.044184040741280906,0.6380494505494506,0.7168367346938775
PRAD_pathologic_T_stage,logistic_l2,mrna_only,mrna,0.0,3,147.0,0.5971597070339109,0.05500808686870915,0.6053113553113553,0.6537807430664574
PRAD_pathologic_T_stage,logistic_l2,test_misaligned,multiomics_core,0.0,3,147.0,0.6215118185864549,0.03733866625023301,0.6245421245421245,0.7034275248560963
PRAD_pathologic_T_stage,logistic_l2,test_misaligned,multiomics_core,0.1,3,147.0,0.595137795321527,0.032380000636547265,0.5975274725274725,0.6715724751439037
PRAD_pathologic_T_stage,logistic_l2,test_misaligned,multiomics_core,0.25,3,147.0,0.6116075266352197,0.04207089675962501,0.6144688644688645,0.6780481423338566
PRAD_pathologic_T_stage,logistic_l2,test_misaligned,multiomics_core,0.5,3,147.0,0.6124345596070454,0.031753105731614266,0.6119505494505494,0.6796834118262689
PRAD_pathologic_T_stage,logistic_l2,test_misaligned,multiomics_core,0.75,3,147.0,0.5790996398559424,0.021113750615311355,0.5817307692307693,0.6323914181057039
PRAD_pathologic_T_stage,logistic_l2,test_misaligned,multiomics_core,1.0,3,147.0,0.6086686323295867,0.05697588404397142,0.6073717948717948,0.6240188383045525
PRAD_pathologic_T_stage,logistic_l2,train_misaligned,multiomics_core,0.0,3,147.0,0.6215118185864549,0.03733866625023301,0.6245421245421245,0.7034275248560963
PRAD_pathologic_T_stage,logistic_l2,train_misaligned,multiomics_core,0.1,3,147.0,0.6317524311881484,0.04566945221411379,0.6353021978021979,0.6983908948194663
PRAD_pathologic_T_stage,logistic_l2,train_misaligned,multiomics_core,0.25,3,147.0,0.6194390595536876,0.03392799826556124,0.6222527472527473,0.6739272632129775
PRAD_pathologic_T_stage,logistic_l2,train_misaligned,multiomics_core,0.5,3,147.0,0.5987066914242046,0.07387324183872256,0.603937728937729,0.6840005232862376
PRAD_pathologic_T_stage,logistic_l2,train_misaligned,multiomics_core,0.75,3,147.0,0.6194170210301785,0.016053616912879445,0.6211080586080585,0.6552197802197802
PRAD_pathologic_T_stage,logistic_l2,train_misaligned,multiomics_core,1.0,3,147.0,0.597009629126219,0.018921191022866428,0.6000457875457875,0.6619570905285191
UCEC_molecular_subtype,extra_trees,mrna_only,mrna,0.0,3,153.0,0.6949172131559741,0.044053205826586145,0.6894154126296984,0.9173263872741447
UCEC_molecular_subtype,extra_trees,test_misaligned,multiomics_core,0.0,3,153.0,0.9140687855077161,0.023372401043843857,0.9092747199890058,0.9855743827319579
UCEC_molecular_subtype,extra_trees,test_misaligned,multiomics_core,0.1,3,153.0,0.8603928810765774,0.01741894261290052,0.8547009207723494,0.9624810053625836
UCEC_molecular_subtype,extra_trees,test_misaligned,multiomics_core,0.25,3,153.0,0.7727671452915962,0.01155545358397998,0.7673314780457637,0.9154689480802819
UCEC_molecular_subtype,extra_trees,test_misaligned,multiomics_core,0.5,3,153.0,0.6004542832225145,0.023288488812238082,0.5981137909709339,0.8166775593103569
UCEC_molecular_subtype,extra_trees,test_misaligned,multiomics_core,0.75,3,153.0,0.45571215151259464,0.008261249557739027,0.45415979523122374,0.7079790895853012
UCEC_molecular_subtype,extra_trees,test_misaligned,multiomics_core,1.0,3,153.0,0.3210405342787921,0.04399081831522878,0.31820071462928606,0.5945260365371884
UCEC_molecular_subtype,extra_trees,train_misaligned,multiomics_core,0.0,3,153.0,0.9140687855077161,0.023372401043843857,0.9092747199890058,0.9855743827319579
UCEC_molecular_subtype,extra_trees,train_misaligned,multiomics_core,0.1,3,153.0,0.911827834025038,0.01713882481715427,0.9072296090153232,0.9844939805002424
UCEC_molecular_subtype,extra_trees,train_misaligned,multiomics_core,0.25,3,153.0,0.9000139001985663,0.007297145586625592,0.8941154744726173,0.9830488532474823
UCEC_molecular_subtype,extra_trees,train_misaligned,multiomics_core,0.5,3,153.0,0.8570470793359913,0.06090590720813564,0.8531892049749192,0.9781495235181263
UCEC_molecular_subtype,extra_trees,train_misaligned,multiomics_core,0.75,3,153.0,0.7776402961567205,0.045221752529273344,0.7570861678004536,0.9543454442715085
UCEC_molecular_subtype,extra_trees,train_misaligned,multiomics_core,1.0,3,153.0,0.5913962607577131,0.024582585832666873,0.6118558029272315,0.8964663661395486
UCEC_molecular_subtype,logistic_l2,mrna_only,mrna,0.0,3,153.0,0.8023755881572058,0.016263650175713178,0.8048349137634853,0.945801041429868
UCEC_molecular_subtype,logistic_l2,test_misaligned,multiomics_core,0.0,3,153.0,0.9088291462169565,0.020760261096811224,0.9120756888614032,0.9808662470727473
UCEC_molecular_subtype,logistic_l2,test_misaligned,multiomics_core,0.1,3,153.0,0.8647578627537649,0.014988117341276943,0.868479007764722,0.965919803680265
UCEC_molecular_subtype,logistic_l2,test_misaligned,multiomics_core,0.25,3,153.0,0.7918058695230377,0.028065474366101344,0.7920695045695045,0.9317845682754493
UCEC_molecular_subtype,logistic_l2,test_misaligned,multiomics_core,0.5,3,153.0,0.651239046470122,0.04955848997679979,0.6531411049268193,0.8549982798737478
UCEC_molecular_subtype,logistic_l2,test_misaligned,multiomics_core,0.75,3,153.0,0.5184810894864809,0.02898452308423547,0.5216510341510342,0.7794542449398666
UCEC_molecular_subtype,logistic_l2,test_misaligned,multiomics_core,1.0,3,153.0,0.41764730875925354,0.054936356433102324,0.4186765615337044,0.6871377850041823
UCEC_molecular_subtype,logistic_l2,train_misaligned,multiomics_core,0.0,3,153.0,0.9088291462169565,0.020760261096811224,0.9120756888614032,0.9808662470727473
UCEC_molecular_subtype,logistic_l2,train_misaligned,multiomics_core,0.1,3,153.0,0.896039915432861,0.02772583765019764,0.8949555074555073,0.9798667671508241
UCEC_molecular_subtype,logistic_l2,train_misaligned,multiomics_core,0.25,3,153.0,0.875623681251799,0.036177759365760474,0.867051467051467,0.9740299159643383
UCEC_molecular_subtype,logistic_l2,train_misaligned,multiomics_core,0.5,3,153.0,0.8604132049165824,0.01671229804856973,0.8583127190270048,0.9679165460464859
UCEC_molecular_subtype,logistic_l2,train_misaligned,multiomics_core,0.75,3,153.0,0.8239929600989271,0.006150822553921017,0.8153164296021439,0.948158705227827
UCEC_molecular_subtype,logistic_l2,train_misaligned,multiomics_core,1.0,3,153.0,0.6943078360925524,0.04344291876526835,0.6868369064797637,0.9056637039473854
